Customer_Subtype,Number_of_houses_1_–_10,Avg_size_household_1_–_6,Avg_age,Customer_main_type,Roman_catholic,Protestant_...,Other_religion,No_religion,Married,Living_together,Other_relation,Singles,Household_without_children,Household_with_children,High_level_education,Medium_level_education,Lower_level_education,High_status,Entrepreneur,Farmer,Middle_management,Skilled_labourers,Unskilled_labourers,Social_class_A,Social_class_B1,Social_class_B2,Social_class_C,Social_class_D,Rented_house,Home_owners,1_car,2_cars,No_car,National_Health_Service,Private_health_insurance,Income_<_30.000,Income_30-45.000,Income_45-75.000,Income_75-122.000,Income_>123.000,Average_income,Purchasing_power_class,Contribution_private_third_party_insurance,Contribution_third_party_insurance_(firms)_...,Contribution_third_party_insurane_(agriculture),Contribution_car_policies,Contribution_delivery_van_policies,Contribution_motorcycle/scooter_policies,Contribution_lorry_policies,Contribution_trailer_policies,Contribution_tractor_policies,Contribution_agricultural_machines_policies,Contribution_moped_policies,Contribution_life_insurances,Contribution_private_accident_insurance_policies,Contribution_family_accidents_insurance_policies,Contribution_disability_insurance_policies,Contribution_fire_policies,Contribution_surfboard_policies,Contribution_boat_policies,Contribution_bicycle_policies,Contribution_property_insurance_policies,Contribution_social_security_insurance_policies,Number_of_private_third_party_insurance_1_-_12,Number_of_third_party_insurance_(firms)_...,Number_of_third_party_insurane_(agriculture),Number_of_car_policies,Number_of_delivery_van_policies,Number_of_motorcycle/scooter_policies,Number_of_lorry_policies,Number_of_trailer_policies,Number_of_tractor_policies,Number_of_agricultural_machines_policies,Number_of_moped_policies,Number_of_life_insurances,Number_of_private_accident_insurance_policies,Number_of_family_accidents_insurance_policies,Number_of_disability_insurance_policies,Number_of_fire_policies,Number_of_surfboard_policies,Number_of_boat_policies,Number_of_bicycle_policies,Number_of_property_insurance_policies,Number_of_social_security_insurance_policies,Number_of_mobile_home_policies_0_-_1
Lower class large families,1,3,30-40,Family with grown ups,0,5,1,3,7,0,2,1,2,6,1,2,7,1,0,1,2,5,2,1,1,2,6,1,1,8,8,0,1,8,1,0,4,5,0,0,4,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Mixed small town dwellers,1,2,30-40,Family with grown ups,1 - 10,4,1,4,6,2,2,0,4,5,0,5,4,0,0,0,5,0,4,0,2,3,5,0,2,7,7,1,2,6,3,2,0,5,2,0,5,4,11 - 23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Mixed small town dwellers,1,2,30-40,Family with grown ups,0,4,2,4,3,2,4,4,4,2,0,5,4,0,0,0,7,0,2,0,5,0,4,0,7,2,7,0,2,9,0,4,5,0,0,0,3,4,11 - 23,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Modern, complete families",1,3,40-50,Average Family,11 - 23,3,2,4,5,2,2,2,3,4,3,4,2,4,0,0,3,1,2,3,2,1,4,0,5,4,9,0,0,7,2,1,5,3,0,0,4,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Large family farms,1,4,30-40,Farmers,1 - 10,4,1,4,7,1,2,2,4,4,5,4,0,0,5,4,0,0,0,9,0,0,0,0,4,5,6,2,1,5,4,0,0,9,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Young and rising,1,2,20-30,Living well,0,5,0,5,0,6,3,3,5,2,0,5,4,2,0,0,4,2,2,2,2,2,4,2,9,0,5,3,3,9,0,5,2,3,0,0,3,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Large religous families,2,3,30-40,Conservative families,11 - 23,2,0,5,7,2,0,0,3,6,0,4,5,0,0,0,4,1,5,0,1,4,5,0,6,3,8,0,1,9,0,4,3,3,0,0,3,5,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lower class large families,1,2,40-50,Family with grown ups,0,7,0,2,7,2,0,0,5,4,0,3,6,2,0,0,2,5,2,2,1,2,5,2,0,9,4,4,2,6,3,2,5,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Lower class large families,1,2,50-60,Family with grown ups,0,1,3,6,6,0,3,3,3,3,0,1,8,1,1,0,1,8,1,1,1,0,8,1,9,0,5,2,3,7,2,7,2,1,0,0,2,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Family starters,2,3,40-50,Average Family,24 - 36,5,0,2,7,0,2,2,2,6,0,4,5,2,0,0,3,3,3,1,2,1,4,2,0,9,6,1,2,6,3,2,3,3,1,0,4,7,11 - 23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
